var,is_derived,is_visual,num_responses,keep,category,category_abbreviated,subcategory1,subcategory1_abbreviated,subcategory2,analysis,analyzed_by,var_type,hs_ext_column_name,MapCommand,survey_question
_DRDXAR3,,,3,y,Health Condition,hc,arthritis,arthritis,diagnosed,VVIP,Nalini,cat,hc_arthritis_diagnosed_cat,"case --_DRDXAR3

end as hc_arthritis_diagnosed_cat,",Respondents who have had a doctor diagnose them as having some form of arthritis
_DRNKWK1,,,285,y,Social Habits,sh,Alcohol,alcohol,perweek,VVIP,Nalini,cont,sh_alcohol_perweek_cont,"case --_DRNKWK1

end as sh_alcohol_perweek_cont,",Calculated total number of alcoholic beverages consumed per week
_DUALCOR,,,107,n,Phone,,Phone,asthma,impact,ignore,Monika,Categorical,,,Dual phone use correction factor
_DUALUSE,,,3,n,Phone,,Phone,cognitive,impact,Think about this,Nalini,Categorical,,,Dual Phone Use Categories
_EDUCAG,,y,5,y,Social Status,ss,Education,education,level,Ignore,Monika,cat,ss_education_level_cat,"case --_EDUCAG

end as ss_education_level_cat,",Level of education completed
_FLSHOT7,,,4,n,Vaccine,,flu,cognitive,condition,,Tim,Binary,,,Adults aged 65+ who have had a flu shot within the past year
_FRT16A,,,2,y,Nutrition,nut,Fruits,fruits,gt16perday,VVIP,Sandeep,cat,nut_fruits_gt16perday_cat,"case --_FRT16A

end as nut_fruits_gt16perday_cat,",Reported consuming Fruit >16 per day
_FRTLT1A,,,3,y,Nutrition,nut,Fruits,fruits,1ormoreperday,VVIP,Mousom,cat,nut_fruits_1ormoreperday_cat,"case --_FRTLT1A

end as nut_fruits_1ormoreperday_cat,",Consume Fruit 1 or more times per day
_FRTRES1,,,2,n,Nutrition,,Fruits,diabetes,treatment,Ignore,Sandeep,Categorical,,,Missing any fruit responses
_FRUITE1,,,3,n,Nutrition,,Fruits,cancer,na,Ignore,Mousom,Categorical,,,Question: Fruit Exclusion from analyses
_FRUTSU1,,y,729,y,Nutrition,nut,Fruits,fruits,totalperday,VVIP,Monika,cont,nut_fruits_totalperday_cont,"case --_FRUTSU1

end as nut_fruits_totalperday_cont,",Total fruits consumed per day
_HCVU652,,y,3,y,Social Status,ss,Health Insurance,healthinsurance,na,Ignore,Sandeep,cat,ss_healthinsurance_na_cat,"case --_HCVU652

end as ss_healthinsurance_na_cat,",Respondents aged 18-64 who have any form of health insurance
_HISPANC,,,3,n,Demographics,,Race,generalcare,na,Ignore,Mousom,Categorical,,,"Hispanic, Latino/a, or Spanish origin calculated variable"
_HLTHPLN,,,3,n,Social Status,,Health Insurance,generalcare,condition,Ignore,Mousom,Binary,,,Adults who had some form of health insurance
_IMPRACE,,,6,y,Demographics,dem,Race,race,na,Ignore,Monika,cat,dem_race_na_cat,"case --_IMPRACE

end as dem_race_na_cat,",Computed race groups used for internet prevalence tables
_INCOMG1,,,8,n,Social Status,,Income,condition,na,Think about this,Nalini,Categorical,,,Income categories
_LLCPWT,,,258033,n,Phone,,Phone,relationship,na,ignore,Monika,,,,Truncated design weight used in adult combined land line and cell phone raking 
_LLCPWT2,,,14331,n,Phone,,Phone,cancer,na,ignore,Monika,,,,Truncated design weight used in adult combined land line and cell phone raking 
_LMTACT3,,,5,y,Health Condition,hc,arthritis,arthritis,activitylimit,VVIP,Nalini,cat,hc_arthritis_activitylimit_cat,"case --_LMTACT3

end as hc_arthritis_activitylimit_cat,",Limited usual activities
_LMTWRK3,,,5,y,Health Condition,hc,arthritis,arthritis,worklimit,VVIP,Nalini,cat,hc_arthritis_worklimit_cat,"case --_LMTWRK3

end as hc_arthritis_worklimit_cat,",Limited work activities
_LTASTH1,,,3,y,Health Condition,hc,asthma,asthma,told,ignore,Tim,bin,hc_asthma_told_bin,"case --_LTASTH1

end as hc_asthma_told_bin,",Adults who have ever been told they have asthma
_MENT14D,,,4,y,Health Condition,hc,Mental,mental,statuslast30days,Ignore,Mousom,cat,hc_mental_statuslast30days_cat,"case --_MENT14D

end as hc_mental_statuslast30days_cat,","3 level not good mental health status: 0 days, 1-13 days, 14-30 days"
_METSTAT,,,3,n,Demographics,,Geographic,diabetes,na,VVIP,Monika,Categorical,,,Metropolitan Status
_MICHD,,y,3,y,Health Condition,hc,chd,chd,reportedhaving,,Tim,cat,hc_chd_reportedhaving_cat,"case --_MICHD

end as hc_chd_reportedhaving_cat,",Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI)
_MISFRT1,,,3,n,Nutrition,,Fruits,diabetes,na,Ignore,Nalini,Categorical,,,The number of missing fruit responses
_MISVEG1,,,5,n,Nutrition,,Vegetables,diabetes,na,Think about this,Nalini,Categorical,,,The number of missing vegetable responses
_MRACE1,,,10,n,Demographics,,Race,mobility,na,Ignore,Mousom,Categorical,,,Race/ethnicity categories
_PHYS14D,,,4,y,General Health,gh,Status,status,physical,VVIP,Nalini,cat,gh_status_physical_cat,"case --_PHYS14D

end as gh_status_physical_cat,","3 level not good physical health status: 0 days, 1-13 days, 14-30 days"
_PNEUMO3,,y,4,y,Vaccine,vac,pneumonia,pneumonia,65plus,,Tim,bin,vac_pneumonia_65plus_bin,"case --_PNEUMO3

end as vac_pneumonia_65plus_bin,",Adults aged 65+ who have ever had a pneumonia vaccination
_PRACE1,,,11,n,Demographics,,Race,cvd,na,Ignore,Mousom,Categorical,,,Preferred race category
_PSU,,,39095,n,Key,,Key,alcohol,na,Ignore,Monika,Continuous,,,Primary Sampling Unit (Equal to Annual Sequence Number) 
_RACE,,,9,n,Demographics,,Race,alcohol,na,VVIP,Mousom,Categorical,,,Race/ethnicity categories
_RACEG21,,,3,n,Demographics,,Race,alcohol,na,Ignore,Tim,Categorical,,,White non-Hispanic race group
_RACEGR3,,,6,n,Demographics,,Race,smoking,na,Ignore,Mousom,Categorical,,,Five-level race/ethnicity category
_RACEPRV,,,8,n,Demographics,,Race,education,na,Ignore,Monika,Categorical,,,Computed race groups used for internet prevalence tables
_RAWRAKE,,,12,n,Phone,,Phone,vision,condition,Ignore,Sandeep,Categorical,,,"Raw weighting factor used in raking (Number of adults in the household (NUMADULT, maximum of 5) divided by the imputed number of phones (_IMPNPH, maximum of 3).)"
_RFBING5,,,3,y,Social Habits,sh,Alcohol,alcohol,binge,VVIP,Nalini,bin,sh_alcohol_binge_bin,"case --_RFBING5

end as sh_alcohol_binge_bin,","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion)"
_RFBMI5,,,3,y,General Health,gh,Weight,weight,na,VVIP,Nalini,bin,gh_weight_na_bin,"case --_RFBMI5

end as gh_weight_na_bin,",Adults who have a body mass index greater than 25.00 (Overweight or Obese)
_RFCHOL3,,,4,y,Health Condition,hc,cvd,cvd,testhighcholesterol,VVIP,Nalini,bin,hc_cvd_testhighcholesterol_bin,"case --_RFCHOL3

end as hc_cvd_testhighcholesterol_bin,","Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health professional that it was high"
_RFDRHV7,,y,3,y,Social Habits,sh,Alcohol,alcohol,heavy,VVIP,Nalini,bin,sh_alcohol_heavy_bin,"case --_RFDRHV7

end as sh_alcohol_heavy_bin,",Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week)
_RFHLTH,,,3,n,General Health,,Status,fruits,condition,VVIP,Nalini,Categorical,,,Adults with good or better health
_RFHYPE6,,,3,y,Health Condition,hc,cvd,cvd,condition,,Tim,bin,hc_cvd_condition_bin,"case --_RFHYPE6

end as hc_cvd_condition_bin,","Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional"
_RFSMOK3,,,3,y,Social Habits,sh,Smoking,smoking,current,VVIP,Nalini,bin,sh_smoking_current_bin,"case --_RFSMOK3

end as sh_smoking_current_bin,",Adults who are current smokers
_SEX,,y,2,y,Demographics,dem,gender,gender,na,Ignore,Nalini,cat,dem_gender_na_cat,"case --_SEX

end as dem_gender_na_cat,",Calculated sex variable
_SMOKER3,,y,5,y,Social Habits,sh,Smoking,smoking,status,VVIP,Nalini,cat,sh_smoking_status_cat,"case --_SMOKER3

end as sh_smoking_status_cat,","Four-level smoker status: Everyday smoker, Someday smoker, Former smoker, Non-smoker"
_STATE,,y,53,y,Demographics,dem,State,state,na,VVIP,Monika,cat,dem_state_na_cat,"case --_STATE

end as dem_state_na_cat,",State FIPS Code
_STRWT,,,1575,n,Phone,,Phone,cancer,condition,Ignore,Sandeep,Categorical,,,Stratum weight (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).)
_STSTR,,,2140,n,Key,,Key,cancer,treatment,Ignore,Monika,Continuous,,,"Sample Design Stratification Variable (Prior to 2011: _STSTR is a five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character).)"
_TOTINDA,,,3,n,General Health,,Excercise,hepatitis,na,ignore,Mousom,Binary,,,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job
_URBSTAT,,,3,y,Demographics,dem,Geographic,geographic,urbanrural,VVIP,Monika,cat,dem_geographic_urbanrural_cat,"case --_URBSTAT

end as dem_geographic_urbanrural_cat,",Urban/Rural Status
_VEG23A,,,2,y,Nutrition,nut,Vegetables,vegetables,gt23,VVIP,Monika,cat,nut_vegetables_gt23_cat,"case --_VEG23A

end as nut_vegetables_gt23_cat,",Reported consuming Vegetables >23 per day
_VEGESU1,,y,2362,y,Nutrition,nut,Vegetables,vegetables,na,VVIP,Sandeep,cont,nut_vegetables_na_cont,"case --_VEGESU1

end as nut_vegetables_na_cont,",Total vegetables consumed per day
_VEGETE1,,,3,n,Nutrition,,Vegetables,cvd,impact,ignore,Mousom,Categorical,,,Vegetable Exclusion from analyses
_VEGLT1A,,,3,y,Nutrition,nut,Vegetables,vegetables,1ormoreperday,VVIP,Mousom,cat,nut_vegetables_1ormoreperday_cat,"case --_VEGLT1A

end as nut_vegetables_1ormoreperday_cat,",Consume Vegetables 1 or more times per day
_VEGRES1,,,2,n,Nutrition,,Vegetables,diabetes,impact,Ignore,Sandeep,Categorical,,,Missing any vegetable responses
_WT2RAKE,,,6313,n,Phone,,Phone,cancer,test,Ignore,Sandeep,Categorical,,,Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).)
ACEADNED,,y,8,y,Adverse Childhood Experiences,ace,Basic Needs,basicneeds,na,ignore,Mousom,cat,ace_basicneeds_na_cat,"case --ACEADNED

end as ace_basicneeds_na_cat,","For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never, a little of the time, some of the time, most of the time, or all of the time?"
ACEADSAF,,y,8,y,Adverse Childhood Experiences,ace,Safe,safe,na,Can ignore this feature,Nalini,cat,ace_safe_na_cat,"case --ACEADSAF

end as ace_safe_na_cat,","For how much of your childhood was there an adult in your household who made you feel safe and protected? Would you say never, a little of the time, some of the time, most of the time, or all of the time?Â "
ACEDEPRS,,y,5,y,Adverse Childhood Experiences,ace,Depressed,depressed,na,,Tim,bin,ace_depressed_na_bin,"case --ACEDEPRS

end as ace_depressed_na_bin,","Did you live with anyone who was depressed, mentally ill, or suicidal?"
ACEDIVRC,,y,6,y,Adverse Childhood Experiences,ace,Parent Marital Status,parentmaritalstatus,na,VVIP,Mousom,bin,ace_parentmaritalstatus_na_bin,"case --ACEDIVRC

end as ace_parentmaritalstatus_na_bin,",Were your parents separated or divorced?
ACEDRINK,,,5,y,Adverse Childhood Experiences,ace,Drinking,drinking,na,,Tim,bin,ace_drinking_na_bin,"case --ACEDRINK

end as ace_drinking_na_bin,",Did you live with anyone who was a problem drinker or alcoholic?
ACEDRUGS,,,5,y,Adverse Childhood Experiences,ace,Drugs,drugs,na,VVIP,Mousom,bin,ace_drugs_na_bin,"case --ACEDRUGS

end as ace_drugs_na_bin,",Did you live with anyone who used illegal street drugs or who abused prescription medications?
ACEHURT1,,,6,y,Adverse Childhood Experiences,ace,Abuse,abuse,na,ignore,Mousom,cat,ace_abuse_na_cat,"case --ACEHURT1

end as ace_abuse_na_cat,","Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was itâ€”"
ACEHVSEX,,,6,y,Adverse Childhood Experiences,ace,Forced Sex,forcedsex,na,Ignore,Mousom,cat,ace_forcedsex_na_cat,"case --ACEHVSEX

end as ace_forcedsex_na_cat,","How often did anyone at least 5 years older than you or an adult, force you to have sex?"
ACEPRISN,,,5,y,Adverse Childhood Experiences,ace,Prison,prison,na,,Tim,bin,ace_prison_na_bin,"case --ACEPRISN

end as ace_prison_na_bin,","Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?"
ACEPUNCH,,,6,y,Adverse Childhood Experiences,ace,Punch,punch,na,VVIP,Mousom,cat,ace_punch_na_cat,"case --ACEPUNCH

end as ace_punch_na_cat,","How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?"
ACESWEAR,,,6,y,Adverse Childhood Experiences,ace,Swear,swear,na,VVIP,Mousom,cat,ace_swear_na_cat,"case --ACESWEAR

end as ace_swear_na_cat,","How often did a parent or adult in your home ever swear at you, insult you, or put you down?"
ACETOUCH,,,6,y,Adverse Childhood Experiences,ace,Touched Sexually,touchedsexually,na,Ignore?,Mousom,cat,ace_touchedsexually_na_cat,"case --ACETOUCH

end as ace_touchedsexually_na_cat,","How often did anyone at least 5 years older than you or an adult, ever touch you sexually?"
ACETTHEM,,,6,y,Adverse Childhood Experiences,ace,Touch Them Sexually,touchthemsexually,na,Ignore?,Mousom,cat,ace_touchthemsexually_na_cat,"case --ACETTHEM

end as ace_touchthemsexually_na_cat,","How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?"
ADDEPEV3,,,5,y,Health Condition,hc,Mental,mental,depressive,,Tim,bin,hc_mental_depressive_bin,"case --ADDEPEV3

end as hc_mental_depressive_bin,",(Ever told) you had a depressive disorder
ALCDAY5,,,41,y,Social Habits,sh,Alcohol,alcohol,howmany,VVIP,Nalini,cont,sh_alcohol_howmany_cont,"case --ALCDAY5

end as sh_alcohol_howmany_cont,","During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?"
ARTHDIS2,,,5,y,Health Condition,hc,arthritis,arthritis,test,Think about this,Nalini,bin,hc_arthritis_test_bin,"case --ARTHDIS2

end as hc_arthritis_test_bin,","Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?"
ARTHEDU,,,5,y,Health Condition,hc,arthritis,education,tomanage,Can ignore this feature,Nalini,bin,hc_education_tomanage_bin,"case --ARTHEDU

end as hc_education_tomanage_bin,",Have you ever taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?
ARTHEXER,,,5,y,Health Condition,hc,arthritis,treat,exercise,Ignore,Nalini,bin,hc_treat_exercise_bin,"case --ARTHEXER

end as hc_treat_exercise_bin,","Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms? (If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)"
ASTHMA3,,,5,y,Health Condition,hc,asthma,asthma,evertold,,Tim,bin,hc_asthma_evertold_bin,"case --ASTHMA3

end as hc_asthma_evertold_bin,",(Ever told) (you had) asthma?
ASTHNOW,,,5,y,Health Condition,hc,asthma,asthma,now,VVIP,Mousom,bin,hc_asthma_now_bin,"case --ASTHNOW

end as hc_asthma_now_bin,",Do you still have asthma?
AVEDRNK3,,,55,y,Social Habits,sh,Alcohol,alcohol,howmuch,Think about this,Nalini,cont,sh_alcohol_howmuch_cont,"case --AVEDRNK3

end as sh_alcohol_howmuch_cont,","One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average? (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)"
BIRTHSEX,,,5,n,Demographics,,gender,cigarettes,na,Ignore,Mousom,Categorical,,,What was your sex at birth? Was it male or female?
BLDSTFIT,,,4,y,Health Condition,hc,Cancer,cancer,bloodstoolfit,Ignore,Sandeep,bin,hc_cancer_bloodstoolfit_bin,"case --BLDSTFIT

end as hc_cancer_bloodstoolfit_bin,",Was the blood stool or FIT (you reported earlier) conducted as part of a Cologuard test?
BLDSUGAR,,,102,y,Health Condition,hc,Diabetes,diabetes,na,Ignore,Mousom,cont,hc_diabetes_na_cont,"case --BLDSUGAR

end as hc_diabetes_na_cont,","About how often do you check your blood for glucose or sugar? [Include times when checked by a family member or friend, but do NOT include times when checked by a health professional.]"
BLIND,,,5,y,Health Condition,hc,vision,vision,test,,Tim,bin,hc_vision_test_bin,"case --BLIND

end as hc_vision_test_bin,","Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
BPHIGH6,,y,7,y,Health Condition,hc,cvd,cvd,toldbphigh,,Tim,cat,hc_cvd_toldbphigh_cat,"case --BPHIGH6

end as hc_cvd_toldbphigh_cat,","Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure? (If Â´YesÂ´ and respondent is female, ask Â´Was this only when you were pregnant?Â´.)"
BPMEDS,,,5,y,Health Condition,hc,cvd,cvd,bpmeds,VVIP,Mousom,bin,hc_cvd_bpmeds_bin,"case --BPMEDS

end as hc_cvd_bpmeds_bin,",Are you currently taking medicine for your high blood pressure?
CADULT1,,,2,n,Phone,,Phone,cvd,treatment,Ignore,Sandeep,Categorical,,,Is this a cell phone?
CAGEG,,,5,n,Social Status,,Children,hepatitis,outcome,Ignore,Monika,Categorical,,,Four level child age
CAREGIV1,,,6,y,Care Giver,cg,General Care,generalcare,providecare,Ignore,Mousom,cat,cg_generalcare_providecare_cat,"case --CAREGIV1

end as cg_generalcare_providecare_cat,","During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?"
CASTHDX2,,,5,y,Health Condition,hc,asthma,asthma,na,ignore,Monika,bin,hc_asthma_na_bin,"case --CASTHDX2

end as hc_asthma_na_bin,","Has a doctor, nurse or other health professional EVER said that the child has asthma? "
CASTHNO2,,,5,n,Child Demographics,,asthma,vegetables,na,VVIP,Sandeep,Binary,,,Does the child still have asthma?
CCLGHOUS,,,2,n,Phone,,Phone,veteran,na,Ignore,Sandeep,Categorical,,,Do you live in college housing?
CDASSIST,,,8,y,Health Condition,hc,Cognitive,cognitive,assistancehowoften,ignore.,Monika,cat,hc_cognitive_assistancehowoften_cat,"case --CDASSIST

end as hc_cognitive_assistancehowoften_cat,","As a result of confusion or memory loss, how often do you need assistance with these day-to-day activities?"
CDDISCUS,,,5,y,Health Condition,hc,cognitive,cognitive,na,Can ignore this feature,Nalini,bin,hc_cognitive_na_bin,"case --CDDISCUS

end as hc_cognitive_na_bin,",Have you or anyone else discussed your confusion or memory loss with a health care professional?
CDHELP,,,8,y,Health Condition,hc,Cognitive,cognitive,howoftengethelp,Can ignore this feature,Nalini,cat,hc_cognitive_howoftengethelp_cat,"case --CDHELP

end as hc_cognitive_howoftengethelp_cat,","When you need help with these day-to-day activities, how often are you able to get the help that you need?"
CDHOUSE,,,8,y,Health Condition,hc,Cognitive,cognitive,activitylimit,Can ignore this feature,Nalini,cat,hc_cognitive_activitylimit_cat,"case --CDHOUSE

end as hc_cognitive_activitylimit_cat,","During the past 12 months, as a result of confusion or memory loss, how often have you given up day-to-day household activities or chores you used to do, such as cooking, cleaning, taking medications, driving, or paying bills?"
CDSOCIAL,,,8,y,Health Condition,hc,Cognitive,cognitive,condition,ignore,Monika,cat,hc_cognitive_condition_cat,"case --CDSOCIAL

end as hc_cognitive_condition_cat,","During the past 12 months, how often has confusion or memory loss interfered with your ability to work,
volunteer, or engage in social activities outside the home? "
CELLFON5,,,2,n,Phone,,Phone,arthritis,condition,Ignore,Sandeep,Categorical,,,Is this (phone number) ?
CELLSEX,,,5,n,Demographics,,gender,cancer,condition,VVIP,Monika,Categorical,,,Are you male or female?
CELPHON1,,,2,n,Phone,,Phone,smoking,condition,Ignore,Sandeep,Categorical,,,Is this a cell telephone?
CERVSCRN,,,5,y,Health Condition,hc,Cancer,cancer,cervicalscreentest,,Tim,bin,hc_cancer_cervicalscreentest_bin,"case --CERVSCRN

end as hc_cancer_cervicalscreentest_bin,",Have you ever had a cervical cancer screening test?
CHCCOPD3,,,5,y,Health Condition,hc,respitory,respitory,onset,,Tim,bin,hc_respitory_onset_bin,"case --CHCCOPD3

end as hc_respitory_onset_bin,",Ever told you had C.O.P.D. emphysema or chronic bronchitis?
CHCKDNY2,,,5,y,Health Condition,hc,kidney,kidney,treatment,,Tim,bin,hc_kidney_treatment_bin,"case --CHCKDNY2

end as hc_kidney_treatment_bin,","Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?"
CHCOCNCR,,,5,y,Health Condition,hc,Cancer,cancer,othertypes,Ignore,Tim,bin,hc_cancer_othertypes_bin,"case --CHCOCNCR

end as hc_cancer_othertypes_bin,",(Ever told) you had any other types of cancer?
CHCSCNCR,,,5,y,Health Condition,hc,Cancer,cancer,impact,Ignore,Tim,bin,hc_cancer_impact_bin,"case --CHCSCNCR

end as hc_cancer_impact_bin,",(Ever told) you had skin cancer?
CHECKUP1,,,8,y,General Health,gh,Routine Checkup,routinecheckup,na,VVIP,Mousom,cat,gh_routinecheckup_na_cat,"case --CHECKUP1

end as gh_routinecheckup_na_cat,","About how long has it been since you last visited a doctor for a routine checkup? [A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition.]"
CHILDREN,,,31,y,Demographics,dem,gender,gender,na,Ignore?,Sandeep,cont,dem_gender_na_cont,"case --CHILDREN

end as dem_gender_na_cont,",How many children less than 18 years of age live in your household?
CHKHEMO3,,,40,y,Health Condition,hc,Diabetes,diabetes,a1cchecked12months,Ignore,Mousom,cat,hc_diabetes_a1cchecked12months_cat,"case --CHKHEMO3

end as hc_diabetes_a1cchecked12months_cat,","About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?"
CHOLCHK3,,,10,y,Health Condition,hc,cvd,cvd,treatment,Ignore,Mousom,cat,hc_cvd_treatment_cat,"case --CHOLCHK3

end as hc_cvd_treatment_cat,",About how long has it been since you last had your cholesterol checked?
CHOLMED3,,,5,y,Health Condition,hc,cvd,treat,cholesterol,VVIP,Tim,bin,hc_treat_cholesterol_bin,"case --CHOLMED3

end as hc_treat_cholesterol_bin,",Currently taking medicine for high cholesterol
CIMEMLOS,,,5,y,Health Condition,hc,Mental,mental,na,Ignore,Mousom,bin,hc_mental_na_bin,"case --CIMEMLOS

end as hc_mental_na_bin,","During the past 12 months, have you experienced confusion or memory loss that is happening more often or is getting worse?"
CNCRAGE,,,98,y,Health Condition,hc,Cancer,cancer,na,Ignore,Nalini,cont,hc_cancer_na_cont,"case --CNCRAGE

end as hc_cancer_na_cont,","At what age were you told that you had cancer? (If Response = 2 (Two) or 3 (Three or more), ask: â€œAt what age was your first diagnosis of cancer?â€)"
CNCRDIFF,,,6,y,Health Condition,hc,Cancer,cancer,differenttypes,VVIP,Sandeep,cat,hc_cancer_differenttypes_cat,"case --CNCRDIFF

end as hc_cancer_differenttypes_cat,",How many different types of cancer have you had?
CNCRTYP1,,,33,y,Health Condition,hc,Cancer,cancer,type,VVIP,Monika,cat,hc_cancer_type_cat,"case --CNCRTYP1

end as hc_cancer_type_cat,","What type of cancer was it? (If Response = 2 (Two) or 3 (Three or more), ask: â€œWith your most recent
diagnoses of cancer, what type of cancer was it?â€)"
COLGHOUS,,,2,n,Phone,,Phone,potato,na,Ignore,Sandeep,Categorical,,,Do you live in college housing?
COLGSEX,,,3,n,Demographics,,gender,diabetes,na,Ignore,Sandeep,Categorical,,,Are you male or female?
COLNCNCR,,,5,y,Health Condition,hc,Cancer,cancer,colorectaltest,Ignore,Tim,bin,hc_cancer_colorectaltest_bin,"case --COLNCNCR

end as hc_cancer_colorectaltest_bin,","Have you ever had any other kind of test for colorectal cancer, such as virtual colonoscopy, CT colonography, blood stool test, FIT DNA, or Cologuard test?"
COLNSIGM,,,6,y,Health Condition,hc,Cancer,cancer,testever,Ignore,Mousom,cat,hc_cancer_testever_cat,"case --COLNSIGM

end as hc_cancer_testever_cat,","Have you had a colonoscopy, a sigmoidoscopy, or both?"
COLNTES1,,,8,y,Health Condition,hc,Cancer,cancer,testwhen,Can ignore this feature,Nalini,cat,hc_cancer_testwhen_cat,"case --COLNTES1

end as hc_cancer_testwhen_cat,",How long has it been since your most recent colonoscopy?
CPDEMO1B,,,10,n,Phone,,Phone,smoking,na,Ignore,Mousom,Categorical,,,How many cell phones do you have for personal use?
CRGVALZD,,,5,y,Care Giver,cg,Cognitive,cognitive,na,Can ignore this feature,Nalini,bin,cg_cognitive_na_bin,"case --CRGVALZD

end as cg_cognitive_na_bin,","Does the person you care for also have AlzheimerÂ´s disease, dementia or other cognitive impairment disorder?"
CRGVEXPT,,,5,y,Care Giver,cg,General Care,generalcare,next2years,Ignore,Mousom,bin,cg_generalcare_next2years_bin,"case --CRGVEXPT

end as cg_generalcare_next2years_bin,","In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?"
